review,summary
HTML and CSS if very nicely covered but later sections are recorded more than 4 years back and now each and everything has updated so much that it became a pathetic experience to follow this course. This course should be updated totally or should not be named as web development bootcamp 2023?,"The review suggests the course content is outdated, making it an unsatisfactory learning experience for 2023, and questions its relevance in a modern web development bootcamp context."
"Initially, I rated this course 5 stars and EVERYTHING was indeed 5 stars till authentication module where everythig was outdated and I thought it's just Authentication module and that's it BUT then React module came after where everything is so outdated that you cannot do a single thing from video without getting an error that says that way of doing it is outdated and no longer supported. I remember from Angela video that she once said that we should rethink twice before buying an outdated udemy course..Huge dissapointment at the end because I could not get a single full project from this course without not watching 8+ hours youtube tutorials to cover the holes from this course...","The review highlights disappointment due to outdated content in both authentication and React modules, making it difficult to complete projects without additional learning from YouTube tutorials."
"Best course ever for web development. No one can match the level of her efforts that she put in making this course. After completion of this course , you will be capable for freelancing. She taught the front end and back end very well. The best thing about this course is that she keep updating the course time to time.","Highly praised course covering both frontend and backend web development; regularly updated by the instructor, offering prospects for freelancing after completion."
"The course is good ! BUT I think when teaching everything together is best than separate topics , example creating projects that uses all tecnologies in one project its hard to get on beginning but good to have every thing in a same project , a project like Social Network would be great , I dont know if it exists in the next lessons , but so far has been good , Thanks","The course is overall positive, but combining all topics into one project for better understanding is challenging. A social network project example is suggested and appreciated."
"just a average course, she just ask you to read other documentation for even basic concepts and because other documentation aren't for beginners, you need external sources like other youtube channels to understand. there is room for lots of improvement in the course.",The course lacks beginner-friendly documentation and requires external resources for understanding; significant improvements are needed.
"I completed a web development bootcamp and it was an amazing experience. The instructors were knowledgeable, the curriculum was well-structured. Highly recommend it to anyone looking to get into web development.","Positive review highlighting knowledgeable instructors, well-structured curriculum, and strong recommendation for web development bootcamp."
"This course is best for beginners who want to know the basics of web designing. It may not have some advanced topics that are not necessary for understanding basics. My only suggestion is certification is only provided for completed full courses, I requested the Author provide different types of certificates for front-end, back-end and full-stack. It will also help to attract more students, that's my humble request thankyou.","The course is ideal for beginners teaching basic web design but lacks advanced topics. The reviewer suggests offering separate certificates for front-end, back-end, and full-stack development to enhance student appeal."
"This course has been amazing for me to learn the fundamentals and I think it has been designed in a way for us to get stuck , read a few doc , try to figure it out and move on . Great Job !!","The course effectively covers the basics, challenges learners with problems that require reading and thinking to solve, and is praised for its design, making it both engaging and educational."
Angela has been helping me to get to my educational goals. Having a outstanding teacher has helped me be successful in all of my current projects in her corse. I really love how easy she has made accessing further help on every project & I can go on my own time.,"Angela is an outstanding tutor who helps me achieve my educational goals and makes it easy to access additional support for my projects, allowing me to learn at my own pace."
"This is the third course I have taken from Angela and it's as always highly interesting and project-oriented, if you want to gain leadership in the web realm just take the course and work hard. It's worth the money.","Angela's course is engaging, project-based, and effective for gaining leadership skills in web development; it's a worthwhile investment."
"before taking this course i was a studying coding just by finding long hours YouTube videos and others. but this course was a hidden Jem for me now i found it. it is concise and to the point above all it is time saver. thank you, Angela, for making this course, wish you best of luck in your endeavors!!!","Angela's coding course offers concise, efficient content that significantly improved my skills, making it a valuable resource and saving me time."
Angela's course is great and is fun to follow along. I can't provide a perfect score simply because some of the more important parts on the backend segment are outdated. Though I guess some would argue that the struggle to figure out the proper solution is part of the learning process. (It was stressful nonetheless),"Angela's course is enjoyable, but some backend content is outdated, and figuring out solutions can be a part of the learning experience, although it might be stressful; however, it's beneficial for growth."
I am a manager working to refresh my knowledge and get back into hands-on development. This course has been amazing in how it is structured and how it guides me through concepts. This is what I needed and more.,"The course was highly effective for refreshing managerial knowledge and gaining hands-on development skills, meeting the reviewer's specific needs."
"Pretty easy to understand they the teacher explains everything, even if you are a complete beginner, this is all you need to go from basic to intermediate, then, of course, you need to figure out how to become a better programmer.","The teacher is patient and covers all necessary topics from beginner to intermediate level, leaving learners to improve their programming skills independently."
"She is an amazing teacher! Angela's teaching is outstanding. It's easy to understand, her pronunciation is clear, and even though English isn't my native language, I can follow along easily. Her valuable tips and motivational words are a great help for my learning. I highly recommend her lectures.","Angela is an outstanding teacher with easy-to-understand lessons, clear pronunciation, and helpful tips that motivate learners. She strongly recommends her lectures."
"For this price, it is an amazing course. It covers a wide range of programming knowledge, including GIT, CSS, JS, Node, DB, API, React, JQuery,  Web 3 and etc. The React section is a bit outdated, but the explanations are perfect! I have access to the Laracast platform, and I can make comparisons. In my opinion, Angela has created good practices and provided valuable resources for developers. It's a good starting point. However, I need new knowledge about the latest React 18 and a deeper dive into hooks, etc.","An excellent course covering various programming topics, including modern technologies like React 18 and hooks, providing valuable resources for developers but suggesting further exploration into advanced React features."
"There is a big mismatch and midway updates in some of the course contents . Meanwhile you replaced the section of Mongoose DB with a new section for Postgres DB,  the subsequent sections are talking heavily about the usage of Mongoose. Not Only that but Mongoose is kept as a main part of code structure in Authentication and Security Section and left us suffering either skip this part or searching for proper solutions.","Course content has significant updates midway, replacing Mongoose DB with Postgres DB and emphasizing Mongoose usage, particularly affecting authentication and security sections."
