review,summary
HTML and CSS if very nicely covered but later sections are recorded more than 4 years back and now each and everything has updated so much that it became a pathetic experience to follow this course. This course should be updated totally or should not be named as web development bootcamp 2023?,"The reviewer found the HTML and CSS sections of the course up-to-date, but subsequent topics were outdated by over four years, rendering the rest of the content irrelevant for current learning needs. They suggest updating the course to reflect modern developments or rebranding it as a different course."
"Initially, I rated this course 5 stars and EVERYTHING was indeed 5 stars till authentication module where everythig was outdated and I thought it's just Authentication module and that's it BUT then React module came after where everything is so outdated that you cannot do a single thing from video without getting an error that says that way of doing it is outdated and no longer supported. I remember from Angela video that she once said that we should rethink twice before buying an outdated udemy course..Huge dissapointment at the end because I could not get a single full project from this course without not watching 8+ hours youtube tutorials to cover the holes from this course...","The reviewer initially gave the course 5 stars, but their experience was ruined by outdated content in both the authentication and React modules, which made it difficult to complete projects despite extensive outside research. They expressed huge disappointment and frustration with the course's lack of support for new technologies."
"Best course ever for web development. No one can match the level of her efforts that she put in making this course. After completion of this course , you will be capable for freelancing. She taught the front end and back end very well. The best thing about this course is that she keep updating the course time to time.","This reviewer highly recommends a web development course, praising its instructor's efforts and thorough coverage of both frontend and backend skills, with the added benefit of regular updates to ensure students stay current."
"The course is good ! BUT I think when teaching everything together is best than separate topics , example creating projects that uses all tecnologies in one project its hard to get on beginning but good to have every thing in a same project , a project like Social Network would be great , I dont know if it exists in the next lessons , but so far has been good , Thanks","The reviewer found the course to be generally good, but suggested that covering multiple topics at once might make it difficult for beginners. They appreciated having everything in one project, such as a hypothetical social network, and hope to see similar projects in future lessons."
"just a average course, she just ask you to read other documentation for even basic concepts and because other documentation aren't for beginners, you need external sources like other youtube channels to understand. there is room for lots of improvement in the course.","The reviewer found the course to be mediocre, requiring students to seek external resources beyond the provided documentation for even basic concepts. The instructor has potential for significant improvement in their teaching methods and content delivery."
"I completed a web development bootcamp and it was an amazing experience. The instructors were knowledgeable, the curriculum was well-structured. Highly recommend it to anyone looking to get into web development.","The reviewer highly recommends a web development bootcamp for those looking to enter the field, citing knowledgeable instructors and a well-structured curriculum."
"This course is best for beginners who want to know the basics of web designing. It may not have some advanced topics that are not necessary for understanding basics. My only suggestion is certification is only provided for completed full courses, I requested the Author provide different types of certificates for front-end, back-end and full-stack. It will also help to attract more students, that's my humble request thankyou.","The course is suitable for beginners looking to learn web designing basics, but lacks advanced topics and a more comprehensive certification option. The reviewer suggests offering different certifications for front-end, back-end, and full-stack development to enhance the course."
"This course has been amazing for me to learn the fundamentals and I think it has been designed in a way for us to get stuck , read a few doc , try to figure it out and move on . Great Job !!","The reviewer found the course to be engaging, encouraging experimentation and self-discovery as they learned the fundamentals. They praised the course design as effective and enjoyable."
Angela has been helping me to get to my educational goals. Having a outstanding teacher has helped me be successful in all of my current projects in her corse. I really love how easy she has made accessing further help on every project & I can go on my own time.,"Angela has been a supportive and effective teacher, helping the student achieve success in their educational goals by providing accessible resources and flexible support."
"This is the third course I have taken from Angela and it's as always highly interesting and project-oriented, if you want to gain leadership in the web realm just take the course and work hard. It's worth the money.","The reviewer found Angela's course to be engaging and valuable for learning leadership skills in the web realm, describing it as 'highly interesting' and a worthwhile investment."
"before taking this course i was a studying coding just by finding long hours YouTube videos and others. but this course was a hidden Jem for me now i found it. it is concise and to the point above all it is time saver. thank you, Angela, for making this course, wish you best of luck in your endeavors!!!","The reviewer discovered a hidden gem in the course, which provided them with valuable information through its conciseness and efficiency. The course was a game-changer for their learning journey."
