review,summary
HTML and CSS if very nicely covered but later sections are recorded more than 4 years back and now each and everything has updated so much that it became a pathetic experience to follow this course. This course should be updated totally or should not be named as web development bootcamp 2023?,"The customer felt disappointed with the course due to outdated information, which made it difficult to keep up with current industry developments."
"Initially, I rated this course 5 stars and EVERYTHING was indeed 5 stars till authentication module where everythig was outdated and I thought it's just Authentication module and that's it BUT then React module came after where everything is so outdated that you cannot do a single thing from video without getting an error that says that way of doing it is outdated and no longer supported. I remember from Angela video that she once said that we should rethink twice before buying an outdated udemy course..Huge dissapointment at the end because I could not get a single full project from this course without not watching 8+ hours youtube tutorials to cover the holes from this course...","The customer was initially extremely satisfied with the course, but after encountering outdated modules and errors, their experience turned sour. Despite investing significant time, they couldn't complete a single full project due to the numerous gaps in the provided content."
"Best course ever for web development. No one can match the level of her efforts that she put in making this course. After completion of this course , you will be capable for freelancing. She taught the front end and back end very well. The best thing about this course is that she keep updating the course time to time.","A student expressed their enthusiastic approval of a web development course, praising its instructor for their high effort and ability to effectively teach both frontend and backend skills. They felt the course was highly valuable, providing the necessary skills to pursue freelancing."
"The course is good ! BUT I think when teaching everything together is best than separate topics , example creating projects that uses all tecnologies in one project its hard to get on beginning but good to have every thing in a same project , a project like Social Network would be great , I dont know if it exists in the next lessons , but so far has been good , Thanks","The customer found the course to be generally good, but thought that separating topics might have made learning easier. They suggested creating projects that integrate multiple technologies to help build a stronger foundation."
"just a average course, she just ask you to read other documentation for even basic concepts and because other documentation aren't for beginners, you need external sources like other youtube channels to understand. there is room for lots of improvement in the course.","The reviewer found this online course average and felt that it relied too heavily on additional resources beyond the official documentation, making it inaccessible to beginners. They also suggested significant improvements were needed to elevate the learning experience."
"I completed a web development bootcamp and it was an amazing experience. The instructors were knowledgeable, the curriculum was well-structured. Highly recommend it to anyone looking to get into web development.","The reviewer had a very positive experience with the web development bootcamp, praising the instructors' knowledge and the structured curriculum."
"This course is best for beginners who want to know the basics of web designing. It may not have some advanced topics that are not necessary for understanding basics. My only suggestion is certification is only provided for completed full courses, I requested the Author provide different types of certificates for front-end, back-end and full-stack. It will also help to attract more students, that's my humble request thankyou.","This course excelled in teaching web design basics to beginners, but fell short by not covering advanced topics or offering customized certification options. The reviewer suggests providing separate certifications for front-end and back-end skills to better cater to students' needs."
"This course has been amazing for me to learn the fundamentals and I think it has been designed in a way for us to get stuck , read a few doc , try to figure it out and move on . Great Job !!","The customer found this course to be incredibly helpful in learning the basics, enjoying its challenging yet self-paced nature. They praised the course's design, which encourages students to learn through trial and error."
Angela has been helping me to get to my educational goals. Having a outstanding teacher has helped me be successful in all of my current projects in her corse. I really love how easy she has made accessing further help on every project & I can go on my own time.,"Angela's exceptional teaching and support have significantly contributed to the reviewer's success, making complex courses manageable and accessible. She provides a personalized learning experience that fosters independence and flexibility."
"This is the third course I have taken from Angela and it's as always highly interesting and project-oriented, if you want to gain leadership in the web realm just take the course and work hard. It's worth the money.","The reviewer highly recommends a course by Angela, describing it as engaging and project-based, with valuable insights for those seeking leadership in online spaces. They praise its value for the price and suggest taking it if you want to succeed in this field."
"before taking this course i was a studying coding just by finding long hours YouTube videos and others. but this course was a hidden Jem for me now i found it. it is concise and to the point above all it is time saver. thank you, Angela, for making this course, wish you best of luck in your endeavors!!!","The reviewer had a transformative experience with the online course, finding it to be concise, efficient, and game-changing after spending hours searching for coding tutorials on YouTube. They praised Angela's creation as a hidden gem that saved them time and effort."
Angela's course is great and is fun to follow along. I can't provide a perfect score simply because some of the more important parts on the backend segment are outdated. Though I guess some would argue that the struggle to figure out the proper solution is part of the learning process. (It was stressful nonetheless),"Angela's course is engaging and enjoyable, but has a minor drawback due to outdated information in one section."
I am a manager working to refresh my knowledge and get back into hands-on development. This course has been amazing in how it is structured and how it guides me through concepts. This is what I needed and more.,"The reviewer found the course to be well-structured, guiding them effectively through key concepts and helping them refresh their knowledge and get back into hands-on development."
"Pretty easy to understand they the teacher explains everything, even if you are a complete beginner, this is all you need to go from basic to intermediate, then, of course, you need to figure out how to become a better programmer.","The reviewer found the teaching style to be clear and easy to follow, making it accessible even for beginners. The teacher's explanations helped them progress from basics to an intermediate level, but ultimately emphasized that further practice is needed to improve their programming skills."
"She is an amazing teacher! Angela's teaching is outstanding. It's easy to understand, her pronunciation is clear, and even though English isn't my native language, I can follow along easily. Her valuable tips and motivational words are a great help for my learning. I highly recommend her lectures.","The customer highly recommends Angela's teaching, praising its clarity, effectiveness, and motivation. She finds Angela to be an excellent teacher who has made English learning easy and accessible, despite not being her native language."
